Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,96,96,1,0.9997909333333334,0.96,106.42
11,3861,280,1,0.9915916,0.96,106.42
21,6977,600,0,0.9848056444444444,0.96,106.42
31,10177,179,1,0.9778367555555556,0.96,106.42
41,12471,366,1,0.9728409333333333,0.96,106.42
51,16076,600,0,0.9649900444444445,0.96,106.42
61,18538,64,1,0.9596283555555556,0.96,106.42
71,21454,60,1,0.9532779555555555,0.96,106.42
81,24741,28,1,0.9461196,0.96,106.42
91,27543,58,1,0.9400174666666666,0.96,106.42
101,30799,600,0,0.9329266222222222,0.96,106.42
111,33489,527,1,0.9270684,0.96,106.42
121,36970,504,1,0.9194875555555555,0.96,106.42
131,40560,600,0,0.9116693333333333,0.96,106.42
141,43301,156,1,0.9057000444444444,0.96,106.42
151,45684,436,1,0.9005104,0.96,106.42
161,48484,191,1,0.8944126222222222,0.96,106.42
171,50794,497,1,0.8893819555555555,0.96,106.42
181,53137,91,1,0.8842794222222222,0.96,106.42
191,54613,51,1,0.8810650222222223,0.96,106.42
201,56278,68,1,0.8774390222222223,0.96,106.42
211,58087,44,1,0.8734994222222222,0.96,106.42
221,60141,494,1,0.8690262666666667,0.96,106.42
231,62796,21,1,0.8632442666666666,0.96,106.42
241,65262,44,1,0.8578738666666667,0.96,106.42
251,66839,64,1,0.8544395111111112,0.96,106.42
261,68444,286,1,0.8509441777777778,0.96,106.42
271,69205,88,1,0.8492868888888889,0.96,106.42
281,70308,58,1,0.8468848,0.96,106.42
291,71245,82,1,0.8448442222222222,0.96,106.42
301,71837,45,1,0.8435549777777778,0.96,106.42
311,72549,87,1,0.8420044,0.96,106.42
321,73134,34,1,0.8407304,0.96,106.42
331,74141,66,1,0.8385373777777778,0.96,106.42
341,74987,29,1,0.8366949777777778,0.96,106.42
351,75716,84,1,0.8351073777777778,0.96,106.42
361,76291,91,1,0.8338551555555556,0.96,106.42
371,77112,93,1,0.8320672,0.96,106.42
381,78004,55,1,0.8301246222222223,0.96,106.42
391,78611,43,1,0.8288027111111111,0.96,106.42
401,79231,52,1,0.8274524888888889,0.96,106.42
411,79762,32,1,0.8262960888888888,0.96,106.42
421,80311,107,1,0.8251004888888889,0.96,106.42
431,81075,58,1,0.8234366666666667,0.96,106.42
441,81851,80,1,0.8217467111111111,0.96,106.42
451,82400,19,1,0.8205511111111111,0.96,106.42
461,82919,32,1,0.8194208444444444,0.96,106.42
