Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,568,568,1,0.9987630222222222,0.71,658.51
2,1768,1200,0,0.9961496888888889,0.71,658.51
3,2079,311,1,0.9954724,0.71,658.51
4,2780,701,1,0.9939457777777778,0.71,658.51
5,3655,875,1,0.9920402222222222,0.71,658.51
6,4150,495,1,0.9909622222222222,0.71,658.51
7,4197,47,1,0.9908598666666667,0.71,658.51
8,5397,1200,0,0.9882465333333333,0.71,658.51
9,6597,1200,0,0.9856332,0.71,658.51
10,7300,703,1,0.9841022222222222,0.71,658.51
11,7659,359,1,0.9833204,0.71,658.51
12,8859,1200,0,0.9807070666666666,0.71,658.51
13,10059,1200,0,0.9780937333333334,0.71,658.51
14,11012,953,1,0.9760183111111111,0.71,658.51
15,11279,267,1,0.9754368444444445,0.71,658.51
16,11639,360,1,0.9746528444444444,0.71,658.51
17,11913,274,1,0.9740561333333333,0.71,658.51
18,12874,961,1,0.9719632888888889,0.71,658.51
19,14074,1200,0,0.9693499555555556,0.71,658.51
20,14235,161,1,0.9689993333333333,0.71,658.51
21,15435,1200,0,0.966386,0.71,658.51
22,16635,1200,0,0.9637726666666666,0.71,658.51
23,17249,614,1,0.9624355111111111,0.71,658.51
24,17901,652,1,0.9610156,0.71,658.51
25,19101,1200,0,0.9584022666666667,0.71,658.51
26,19195,94,1,0.9581975555555555,0.71,658.51
27,19694,499,1,0.9571108444444445,0.71,658.51
28,20894,1200,0,0.9544975111111111,0.71,658.51
29,22094,1200,0,0.9518841777777778,0.71,658.51
30,23091,997,1,0.9497129333333333,0.71,658.51
31,24219,1128,1,0.9472564,0.71,658.51
32,24579,360,1,0.9464724,0.71,658.51
33,25779,1200,0,0.9438590666666666,0.71,658.51
34,26706,927,1,0.9418402666666666,0.71,658.51
35,27593,887,1,0.9399085777777778,0.71,658.51
36,28644,1051,1,0.9376197333333334,0.71,658.51
37,28945,301,1,0.9369642222222222,0.71,658.51
38,30145,1200,0,0.9343508888888888,0.71,658.51
39,31345,1200,0,0.9317375555555556,0.71,658.51
40,31648,303,1,0.9310776888888889,0.71,658.51
41,32848,1200,0,0.9284643555555556,0.71,658.51
42,34048,1200,0,0.9258510222222223,0.71,658.51
43,34177,129,1,0.9255700888888889,0.71,658.51
44,35084,907,1,0.9235948444444444,0.71,658.51
45,36284,1200,0,0.9209815111111112,0.71,658.51
46,36523,239,1,0.9204610222222223,0.71,658.51
47,36778,255,1,0.9199056888888889,0.71,658.51
48,37978,1200,0,0.9172923555555555,0.71,658.51
49,39178,1200,0,0.9146790222222222,0.71,658.51
50,40378,1200,0,0.912065688888889,0.71,658.51
51,40793,415,1,0.9111619111111111,0.71,658.51
52,41993,1200,0,0.9085485777777778,0.71,658.51
53,43193,1200,0,0.9059352444444444,0.71,658.51
54,44071,878,1,0.9040231555555556,0.71,658.51
55,45271,1200,0,0.9014098222222222,0.71,658.51
56,46257,986,1,0.8992625333333333,0.71,658.51
57,46671,414,1,0.8983609333333333,0.71,658.51
58,47871,1200,0,0.8957476,0.71,658.51
59,48025,154,1,0.8954122222222223,0.71,658.51
60,49225,1200,0,0.8927988888888889,0.71,658.51
61,50425,1200,0,0.8901855555555556,0.71,658.51
62,51497,1072,1,0.8878509777777778,0.71,658.51
63,51661,164,1,0.8874938222222222,0.71,658.51
64,52287,626,1,0.8861305333333334,0.71,658.51
65,52466,179,1,0.8857407111111111,0.71,658.51
66,52622,156,1,0.8854009777777778,0.71,658.51
67,53784,1162,1,0.8828704,0.71,658.51
68,54054,270,1,0.8822824,0.71,658.51
69,55254,1200,0,0.8796690666666667,0.71,658.51
70,55896,642,1,0.8782709333333334,0.71,658.51
71,55963,67,1,0.8781250222222222,0.71,658.51
72,57163,1200,0,0.8755116888888889,0.71,658.51
73,57617,454,1,0.8745229777777778,0.71,658.51
74,57891,274,1,0.8739262666666667,0.71,658.51
75,58265,374,1,0.8731117777777778,0.71,658.51
76,58501,236,1,0.8725978222222223,0.71,658.51
77,58729,228,1,0.8721012888888888,0.71,658.51
78,59155,426,1,0.8711735555555555,0.71,658.51
79,59220,65,1,0.871032,0.71,658.51
80,60420,1200,0,0.8684186666666667,0.71,658.51
81,60486,66,1,0.8682749333333333,0.71,658.51
82,60875,389,1,0.8674277777777778,0.71,658.51
83,61223,348,1,0.8666699111111111,0.71,658.51
84,62020,797,1,0.8649342222222223,0.71,658.51
85,63188,1168,1,0.8623905777777778,0.71,658.51
86,63403,215,1,0.8619223555555555,0.71,658.51
87,63529,126,1,0.8616479555555556,0.71,658.51
88,63732,203,1,0.8612058666666667,0.71,658.51
