Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,351,351,1.0,0.9990445,0.84,551.47
2,1551,1200,0.0,0.9957778333333334,0.84,551.47
3,2751,1200,0.0,0.9925111666666667,0.84,551.47
4,2935,184,1.0,0.9920102777777777,0.84,551.47
5,4135,1200,0.0,0.9887436111111111,0.84,551.47
6,5190,1055,1.0,0.9858716666666667,0.84,551.47
7,5562,372,1.0,0.984859,0.84,551.47
8,5783,221,1.0,0.9842573888888889,0.84,551.47
9,6575,792,1.0,0.9821013888888889,0.84,551.47
10,6804,229,1.0,0.981478,0.84,551.47
11,7166,362,1.0,0.9804925555555556,0.84,551.47
12,7330,164,1.0,0.9800461111111111,0.84,551.47
13,7521,191,1.0,0.9795261666666667,0.84,551.47
14,7648,127,1.0,0.9791804444444444,0.84,551.47
15,8251,603,1.0,0.9775389444444444,0.84,551.47
16,8533,282,1.0,0.9767712777777777,0.84,551.47
17,9440,907,1.0,0.9743022222222222,0.84,551.47
18,10364,924,1.0,0.9717868888888889,0.84,551.47
19,10373,9,1.0,0.9717623888888889,0.84,551.47
20,10725,352,1.0,0.9708041666666667,0.84,551.47
21,10810,85,1.0,0.9705727777777777,0.84,551.47
22,11208,398,1.0,0.9694893333333333,0.84,551.47
23,11721,513,1.0,0.9680928333333333,0.84,551.47
24,11853,132,1.0,0.9677335,0.84,551.47
25,12212,359,1.0,0.9667562222222222,0.84,551.47
26,13006,794,1.0,0.9645947777777778,0.84,551.47
27,14206,1200,0.0,0.9613281111111112,0.84,551.47
28,15077,871,1.0,0.9589570555555555,0.84,551.47
29,15694,617,1.0,0.9572774444444444,0.84,551.47
30,16188,494,1.0,0.9559326666666667,0.84,551.47
31,16279,91,1.0,0.9556849444444444,0.84,551.47
32,16579,300,1.0,0.9548682777777778,0.84,551.47
33,17779,1200,0.0,0.9516016111111111,0.84,551.47
34,18609,830,1.0,0.9493421666666667,0.84,551.47
35,19809,1200,0.0,0.9460755,0.84,551.47
