Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,1182,1182,1.0,0.9987129333333333,0.52,845.67
2,2351,1169,1.0,0.9974400222222222,0.52,845.67
3,3551,1200,0.0,0.9961333555555556,0.52,845.67
4,4701,1150,1.0,0.9948811333333333,0.52,845.67
5,5901,1200,0.0,0.9935744666666667,0.52,845.67
6,7101,1200,0.0,0.9922678,0.52,845.67
7,8078,977,1.0,0.9912039555555555,0.52,845.67
8,8548,470,1.0,0.9906921777777777,0.52,845.67
9,8878,330,1.0,0.9903328444444445,0.52,845.67
10,9085,207,1.0,0.9901074444444444,0.52,845.67
11,9323,238,1.0,0.9898482888888889,0.52,845.67
12,9701,378,1.0,0.9894366888888889,0.52,845.67
13,10882,1181,1.0,0.9881507111111111,0.52,845.67
14,12082,1200,0.0,0.9868440444444444,0.52,845.67
15,13256,1174,1.0,0.9855656888888888,0.52,845.67
16,14319,1063,1.0,0.9844082,0.52,845.67
17,14650,331,1.0,0.9840477777777777,0.52,845.67
18,15850,1200,0.0,0.9827411111111111,0.52,845.67
19,16289,439,1.0,0.9822630888888889,0.52,845.67
20,17155,866,1.0,0.9813201111111111,0.52,845.67
21,18355,1200,0.0,0.9800134444444445,0.52,845.67
22,18812,457,1.0,0.9795158222222222,0.52,845.67
23,20012,1200,0.0,0.9782091555555555,0.52,845.67
24,21212,1200,0.0,0.9769024888888889,0.52,845.67
25,22412,1200,0.0,0.9755958222222222,0.52,845.67
26,23612,1200,0.0,0.9742891555555555,0.52,845.67
27,24323,711,1.0,0.9735149555555556,0.52,845.67
28,25523,1200,0.0,0.9722082888888889,0.52,845.67
29,26723,1200,0.0,0.9709016222222222,0.52,845.67
30,27923,1200,0.0,0.9695949555555555,0.52,845.67
31,28739,816,1.0,0.9687064222222223,0.52,845.67
32,29939,1200,0.0,0.9673997555555556,0.52,845.67
33,30307,368,1.0,0.9669990444444444,0.52,845.67
34,31470,1163,1.0,0.9657326666666667,0.52,845.67
35,32670,1200,0.0,0.964426,0.52,845.67
36,33870,1200,0.0,0.9631193333333333,0.52,845.67
37,34037,167,1.0,0.9629374888888889,0.52,845.67
38,35237,1200,0.0,0.9616308222222222,0.52,845.67
39,36437,1200,0.0,0.9603241555555555,0.52,845.67
40,37637,1200,0.0,0.9590174888888889,0.52,845.67
41,37806,169,1.0,0.9588334666666667,0.52,845.67
42,38193,387,1.0,0.9584120666666667,0.52,845.67
43,39393,1200,0.0,0.9571054,0.52,845.67
44,40593,1200,0.0,0.9557987333333333,0.52,845.67
45,41793,1200,0.0,0.9544920666666666,0.52,845.67
46,42052,259,1.0,0.9542100444444445,0.52,845.67
47,42528,476,1.0,0.9536917333333333,0.52,845.67
48,43728,1200,0.0,0.9523850666666667,0.52,845.67
49,44928,1200,0.0,0.9510784,0.52,845.67
50,45004,76,1.0,0.9509956444444444,0.52,845.67
51,46021,1017,1.0,0.9498882444444444,0.52,845.67
52,47221,1200,0.0,0.9485815777777777,0.52,845.67
53,48421,1200,0.0,0.9472749111111111,0.52,845.67
54,49621,1200,0.0,0.9459682444444445,0.52,845.67
55,49837,216,1.0,0.9457330444444445,0.52,845.67
56,51037,1200,0.0,0.9444263777777778,0.52,845.67
57,52237,1200,0.0,0.9431197111111111,0.52,845.67
58,52881,644,1.0,0.9424184666666666,0.52,845.67
59,54081,1200,0.0,0.9411118,0.52,845.67
60,54281,200,1.0,0.9408940222222222,0.52,845.67
61,55100,819,1.0,0.9400022222222222,0.52,845.67
62,55199,99,1.0,0.9398944222222222,0.52,845.67
63,56012,813,1.0,0.9390091555555555,0.52,845.67
64,56301,289,1.0,0.9386944666666667,0.52,845.67
65,57501,1200,0.0,0.9373878,0.52,845.67
66,57858,357,1.0,0.9369990666666667,0.52,845.67
67,57902,44,1.0,0.9369511555555555,0.52,845.67
68,58221,319,1.0,0.9366038,0.52,845.67
69,59421,1200,0.0,0.9352971333333333,0.52,845.67
70,60621,1200,0.0,0.9339904666666666,0.52,845.67
71,61821,1200,0.0,0.9326838,0.52,845.67
72,62318,497,1.0,0.9321426222222222,0.52,845.67
73,63518,1200,0.0,0.9308359555555555,0.52,845.67
74,64479,961,1.0,0.9297895333333334,0.52,845.67
75,65679,1200,0.0,0.9284828666666667,0.52,845.67
76,66879,1200,0.0,0.9271762,0.52,845.67
77,68079,1200,0.0,0.9258695333333333,0.52,845.67
78,68142,63,1.0,0.9258009333333334,0.52,845.67
79,69342,1200,0.0,0.9244942666666667,0.52,845.67
80,69459,117,1.0,0.9243668666666667,0.52,845.67
81,69558,99,1.0,0.9242590666666667,0.52,845.67
82,70411,853,1.0,0.9233302444444444,0.52,845.67
83,71611,1200,0.0,0.9220235777777778,0.52,845.67
84,72811,1200,0.0,0.9207169111111111,0.52,845.67
85,74011,1200,0.0,0.9194102444444444,0.52,845.67
86,75211,1200,0.0,0.9181035777777777,0.52,845.67
87,75792,581,1.0,0.9174709333333333,0.52,845.67
88,75872,80,1.0,0.9173838222222223,0.52,845.67
89,77072,1200,0.0,0.9160771555555556,0.52,845.67
90,78272,1200,0.0,0.9147704888888889,0.52,845.67
91,78400,128,1.0,0.9146311111111112,0.52,845.67
92,79600,1200,0.0,0.9133244444444444,0.52,845.67
