Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,147,147,1.0,0.9999771333333334,0.59,848.26
2,423,276,1.0,0.9999342,0.59,848.26
3,1623,1200,0.0,0.9997475333333333,0.59,848.26
4,1994,371,1.0,0.9996898222222222,0.59,848.26
5,2120,126,1.0,0.9996702222222222,0.59,848.26
6,2467,347,1.0,0.9996162444444444,0.59,848.26
7,3667,1200,0.0,0.9994295777777777,0.59,848.26
8,4551,884,1.0,0.9992920666666667,0.59,848.26
9,5049,498,1.0,0.9992146,0.59,848.26
10,6126,1077,1.0,0.9990470666666666,0.59,848.26
11,7326,1200,0.0,0.9988604,0.59,848.26
12,7714,388,1.0,0.9988000444444445,0.59,848.26
13,8329,615,1.0,0.9987043777777778,0.59,848.26
14,9213,884,1.0,0.9985668666666667,0.59,848.26
15,10413,1200,0.0,0.9983802,0.59,848.26
16,11311,898,1.0,0.9982405111111111,0.59,848.26
17,12511,1200,0.0,0.9980538444444444,0.59,848.26
18,12924,413,1.0,0.9979896,0.59,848.26
19,13161,237,1.0,0.9979527333333333,0.59,848.26
20,14361,1200,0.0,0.9977660666666667,0.59,848.26
21,15561,1200,0.0,0.9975794,0.59,848.26
22,15931,370,1.0,0.9975218444444445,0.59,848.26
23,16901,970,1.0,0.9973709555555555,0.59,848.26
24,18101,1200,0.0,0.9971842888888889,0.59,848.26
25,18605,504,1.0,0.9971058888888888,0.59,848.26
26,19022,417,1.0,0.9970410222222222,0.59,848.26
27,20222,1200,0.0,0.9968543555555556,0.59,848.26
28,20820,598,1.0,0.9967613333333334,0.59,848.26
29,22020,1200,0.0,0.9965746666666667,0.59,848.26
30,23220,1200,0.0,0.996388,0.59,848.26
31,23997,777,1.0,0.9962671333333334,0.59,848.26
32,25197,1200,0.0,0.9960804666666667,0.59,848.26
33,25621,424,1.0,0.9960145111111112,0.59,848.26
34,25882,261,1.0,0.9959739111111111,0.59,848.26
35,26598,716,1.0,0.9958625333333333,0.59,848.26
36,27435,837,1.0,0.9957323333333333,0.59,848.26
37,27662,227,1.0,0.9956970222222222,0.59,848.26
38,28862,1200,0.0,0.9955103555555556,0.59,848.26
39,29569,707,1.0,0.9954003777777778,0.59,848.26
40,29982,413,1.0,0.9953361333333334,0.59,848.26
41,31182,1200,0.0,0.9951494666666667,0.59,848.26
42,32028,846,1.0,0.9950178666666667,0.59,848.26
43,33228,1200,0.0,0.9948312,0.59,848.26
44,33700,472,1.0,0.9947577777777777,0.59,848.26
45,34900,1200,0.0,0.9945711111111111,0.59,848.26
46,35254,354,1.0,0.9945160444444444,0.59,848.26
47,35792,538,1.0,0.9944323555555555,0.59,848.26
48,36992,1200,0.0,0.9942456888888889,0.59,848.26
49,38192,1200,0.0,0.9940590222222222,0.59,848.26
50,38678,486,1.0,0.9939834222222222,0.59,848.26
51,39878,1200,0.0,0.9937967555555556,0.59,848.26
52,40484,606,1.0,0.9937024888888889,0.59,848.26
53,41520,1036,1.0,0.9935413333333334,0.59,848.26
54,42720,1200,0.0,0.9933546666666667,0.59,848.26
55,43404,684,1.0,0.9932482666666667,0.59,848.26
56,44604,1200,0.0,0.9930616,0.59,848.26
57,45804,1200,0.0,0.9928749333333333,0.59,848.26
58,47004,1200,0.0,0.9926882666666667,0.59,848.26
59,47607,603,1.0,0.9925944666666666,0.59,848.26
60,48033,426,1.0,0.9925282,0.59,848.26
61,48345,312,1.0,0.9924796666666666,0.59,848.26
62,49545,1200,0.0,0.992293,0.59,848.26
63,50745,1200,0.0,0.9921063333333333,0.59,848.26
64,51945,1200,0.0,0.9919196666666666,0.59,848.26
65,53011,1066,1.0,0.9917538444444445,0.59,848.26
66,53607,596,1.0,0.9916611333333334,0.59,848.26
67,53890,283,1.0,0.9916171111111111,0.59,848.26
68,54165,275,1.0,0.9915743333333333,0.59,848.26
69,54830,665,1.0,0.9914708888888889,0.59,848.26
70,56030,1200,0.0,0.9912842222222222,0.59,848.26
71,57230,1200,0.0,0.9910975555555556,0.59,848.26
72,58022,792,1.0,0.9909743555555556,0.59,848.26
73,58846,824,1.0,0.9908461777777777,0.59,848.26
74,60046,1200,0.0,0.9906595111111111,0.59,848.26
75,61246,1200,0.0,0.9904728444444444,0.59,848.26
76,62446,1200,0.0,0.9902861777777778,0.59,848.26
77,63646,1200,0.0,0.9900995111111112,0.59,848.26
78,64817,1171,1.0,0.9899173555555556,0.59,848.26
79,65737,920,1.0,0.9897742444444444,0.59,848.26
80,65909,172,1.0,0.9897474888888889,0.59,848.26
81,66305,396,1.0,0.9896858888888889,0.59,848.26
82,66563,258,1.0,0.9896457555555556,0.59,848.26
83,67763,1200,0.0,0.9894590888888889,0.59,848.26
84,68963,1200,0.0,0.9892724222222222,0.59,848.26
85,70163,1200,0.0,0.9890857555555556,0.59,848.26
86,71363,1200,0.0,0.9888990888888889,0.59,848.26
87,72563,1200,0.0,0.9887124222222222,0.59,848.26
88,73763,1200,0.0,0.9885257555555556,0.59,848.26
89,74670,907,1.0,0.9883846666666667,0.59,848.26
90,75561,891,1.0,0.9882460666666667,0.59,848.26
91,76761,1200,0.0,0.9880594,0.59,848.26
92,77759,998,1.0,0.9879041555555556,0.59,848.26
93,78943,1184,1.0,0.9877199777777778,0.59,848.26
94,79635,692,1.0,0.9876123333333333,0.59,848.26
95,80835,1200,0.0,0.9874256666666666,0.59,848.26
96,81880,1045,1.0,0.9872631111111111,0.59,848.26
97,82044,164,1.0,0.9872376,0.59,848.26
98,83144,1100,1.0,0.9870664888888889,0.59,848.26
99,84344,1200,0.0,0.9868798222222223,0.59,848.26
100,84826,482,1.0,0.9868048444444445,0.59,848.26
101,86026,1200,0.0,0.9866181777777778,0.59,848.26
102,86538,512,1.0,0.9865385333333333,0.58,858.79
103,87738,1200,0.0,0.9863518666666666,0.58,861.15
104,88343,605,1.0,0.9862577555555555,0.58,861.15
105,89543,1200,0.0,0.9860710888888888,0.58,863.49
106,90743,1200,0.0,0.9858844222222223,0.57,874.23
107,91232,489,1.0,0.9858083555555556,0.56,882.76
108,92432,1200,0.0,0.9856216888888889,0.57,875.65
109,93632,1200,0.0,0.9854350222222222,0.56,878.81
110,94832,1200,0.0,0.9852483555555556,0.55,885.83
111,95926,1094,1.0,0.9850781777777777,0.54,887.06
112,97126,1200,0.0,0.9848915111111111,0.55,886.0
113,97794,668,1.0,0.9847876,0.54,894.12
114,98994,1200,0.0,0.9846009333333333,0.54,894.65
115,100194,1200,0.0,0.9844142666666666,0.53,897.81
116,101394,1200,0.0,0.9842276,0.53,897.81
117,102594,1200,0.0,0.9840409333333333,0.52,900.83
118,103794,1200,0.0,0.9838542666666666,0.52,900.83
119,104994,1200,0.0,0.9836676,0.51,908.7
120,106194,1200,0.0,0.9834809333333333,0.5,918.33
121,106563,369,1.0,0.9834235333333333,0.5,918.33
122,107763,1200,0.0,0.9832368666666667,0.51,910.02
123,108789,1026,1.0,0.9830772666666666,0.5,918.32
124,109169,380,1.0,0.9830181555555556,0.5,918.88
125,110369,1200,0.0,0.9828314888888889,0.51,910.68
126,111569,1200,0.0,0.9826448222222223,0.5,917.64
127,112476,907,1.0,0.9825037333333333,0.49,925.47
128,113676,1200,0.0,0.9823170666666666,0.5,922.54
129,114876,1200,0.0,0.9821304,0.49,928.56
130,115044,168,1.0,0.9821042666666666,0.49,928.56
131,115460,416,1.0,0.9820395555555556,0.5,918.24
132,116660,1200,0.0,0.9818528888888889,0.5,914.63
133,116709,49,1.0,0.9818452666666667,0.5,914.63
134,117685,976,1.0,0.9816934444444444,0.5,910.88
135,118885,1200,0.0,0.9815067777777777,0.5,918.03
136,120085,1200,0.0,0.9813201111111111,0.49,922.87
137,121285,1200,0.0,0.9811334444444444,0.48,926.5
138,122485,1200,0.0,0.9809467777777778,0.47,936.23
139,123685,1200,0.0,0.9807601111111112,0.47,936.23
140,124885,1200,0.0,0.9805734444444445,0.46,941.16
141,125631,746,1.0,0.9804574,0.45,949.03
142,126831,1200,0.0,0.9802707333333334,0.46,944.49
143,128031,1200,0.0,0.9800840666666667,0.45,948.03
144,128198,167,1.0,0.9800580888888889,0.45,948.03
145,129264,1066,1.0,0.9798922666666666,0.45,944.98
146,130464,1200,0.0,0.9797056,0.46,943.64
147,131664,1200,0.0,0.9795189333333333,0.45,952.1
148,132772,1108,1.0,0.9793465777777778,0.44,958.72
149,133439,667,1.0,0.9792428222222223,0.45,957.8
150,134639,1200,0.0,0.9790561555555556,0.46,952.47
151,135839,1200,0.0,0.9788694888888889,0.45,959.61
152,136564,725,1.0,0.9787567111111111,0.45,959.61
153,137764,1200,0.0,0.9785700444444444,0.45,960.8
154,138429,665,1.0,0.9784666,0.44,962.44
155,139629,1200,0.0,0.9782799333333333,0.45,957.09
156,140353,724,1.0,0.9781673111111111,0.44,962.25
157,141553,1200,0.0,0.9779806444444444,0.45,957.49
158,142516,963,1.0,0.9778308444444445,0.45,957.49
159,143078,562,1.0,0.9777434222222222,0.46,955.12
160,144278,1200,0.0,0.9775567555555555,0.46,954.71
161,145478,1200,0.0,0.9773700888888889,0.45,962.45
162,146678,1200,0.0,0.9771834222222222,0.44,971.33
163,147878,1200,0.0,0.9769967555555555,0.44,971.33
164,148619,741,1.0,0.9768814888888889,0.44,971.33
165,149819,1200,0.0,0.9766948222222223,0.45,966.74
166,150303,484,1.0,0.9766195333333333,0.44,968.08
167,150552,249,1.0,0.9765808,0.44,966.96
168,150760,208,1.0,0.9765484444444444,0.44,966.62
169,151960,1200,0.0,0.9763617777777778,0.44,965.95
170,152764,804,1.0,0.9762367111111111,0.43,971.3
171,153964,1200,0.0,0.9760500444444444,0.44,967.34
172,155164,1200,0.0,0.9758633777777778,0.44,967.34
173,155451,287,1.0,0.9758187333333334,0.43,971.42
174,156651,1200,0.0,0.9756320666666667,0.43,966.05
175,157851,1200,0.0,0.9754454,0.43,966.05
176,158938,1087,1.0,0.9752763111111111,0.43,966.05
177,159412,474,1.0,0.9752025777777777,0.44,964.92
178,159963,551,1.0,0.9751168666666666,0.45,957.66
179,161163,1200,0.0,0.9749302,0.45,951.46
180,161746,583,1.0,0.9748395111111111,0.44,954.26
181,162270,524,1.0,0.974758,0.44,958.37
182,163470,1200,0.0,0.9745713333333333,0.44,959.65
183,164057,587,1.0,0.9744800222222222,0.43,969.07
184,164616,559,1.0,0.9743930666666667,0.44,962.94
185,165816,1200,0.0,0.9742064,0.45,956.53
186,166947,1131,1.0,0.9740304666666667,0.45,956.53
187,168147,1200,0.0,0.9738438,0.46,955.84
188,169347,1200,0.0,0.9736571333333334,0.46,955.84
189,169631,284,1.0,0.9736129555555556,0.46,955.84
190,170207,576,1.0,0.9735233555555556,0.46,949.61
191,171407,1200,0.0,0.9733366888888889,0.46,946.46
192,171782,375,1.0,0.9732783555555555,0.46,946.46
193,172883,1101,1.0,0.9731070888888889,0.46,940.23
194,173428,545,1.0,0.9730223111111111,0.46,939.4
195,174628,1200,0.0,0.9728356444444445,0.46,937.93
196,175828,1200,0.0,0.9726489777777778,0.46,937.93
197,177028,1200,0.0,0.9724623111111111,0.45,939.48
198,178024,996,1.0,0.9723073777777778,0.44,949.84
199,178642,618,1.0,0.9722112444444444,0.44,948.8
200,179842,1200,0.0,0.9720245777777777,0.45,942.98
201,180845,1003,1.0,0.9718685555555555,0.44,950.16
202,182045,1200,0.0,0.9716818888888888,0.45,948.19
203,182584,539,1.0,0.9715980444444444,0.44,955.07
204,182856,272,1.0,0.9715557333333333,0.45,948.46
205,184056,1200,0.0,0.9713690666666667,0.45,945.13
206,185256,1200,0.0,0.9711824,0.45,945.13
207,185602,346,1.0,0.9711285777777777,0.45,945.13
208,186802,1200,0.0,0.9709419111111111,0.45,943.7
209,188002,1200,0.0,0.9707552444444445,0.45,943.7
210,189202,1200,0.0,0.9705685777777778,0.45,943.7
211,190208,1006,1.0,0.9704120888888889,0.45,943.7
212,191029,821,1.0,0.9702843777777778,0.45,942.82
213,191625,596,1.0,0.9701916666666667,0.46,939.03
214,192746,1121,1.0,0.9700172888888889,0.46,938.31
215,193210,464,1.0,0.9699451111111111,0.47,937.52
216,194001,791,1.0,0.9698220666666667,0.48,930.16
217,194344,343,1.0,0.9697687111111111,0.49,926.07
218,195544,1200,0.0,0.9695820444444444,0.5,917.5
219,196744,1200,0.0,0.9693953777777777,0.5,917.5
220,197944,1200,0.0,0.9692087111111111,0.5,917.5
221,198322,378,1.0,0.9691499111111112,0.5,917.5
222,199255,933,1.0,0.9690047777777778,0.5,917.59
223,200455,1200,0.0,0.9688181111111112,0.51,914.92
224,201141,686,1.0,0.9687114,0.5,916.66
225,202341,1200,0.0,0.9685247333333333,0.5,919.72
226,202384,43,1.0,0.9685180444444444,0.5,919.72
227,202912,528,1.0,0.9684359111111112,0.51,908.15
228,203555,643,1.0,0.9683358888888889,0.51,904.36
229,204755,1200,0.0,0.9681492222222222,0.52,898.79
230,205955,1200,0.0,0.9679625555555555,0.52,898.79
231,207155,1200,0.0,0.9677758888888889,0.51,909.11
232,208355,1200,0.0,0.9675892222222222,0.5,916.95
233,209458,1103,1.0,0.9674176444444444,0.5,916.95
234,210658,1200,0.0,0.9672309777777778,0.5,927.49
235,210808,150,1.0,0.9672076444444444,0.49,929.73
236,211787,979,1.0,0.9670553555555556,0.5,919.23
237,212516,729,1.0,0.9669419555555555,0.51,917.02
238,213351,835,1.0,0.9668120666666666,0.52,912.31
239,213936,585,1.0,0.9667210666666667,0.53,908.66
240,215135,1199,1.0,0.9665345555555556,0.54,902.51
241,216335,1200,0.0,0.9663478888888889,0.55,902.5
242,217535,1200,0.0,0.9661612222222222,0.54,907.04
243,218282,747,1.0,0.9660450222222222,0.54,907.04
244,219482,1200,0.0,0.9658583555555555,0.55,902.51
245,220682,1200,0.0,0.9656716888888889,0.54,912.84
246,221639,957,1.0,0.9655228222222222,0.53,914.18
247,222740,1101,1.0,0.9653515555555555,0.54,911.75
248,223940,1200,0.0,0.9651648888888889,0.55,910.76
249,224413,473,1.0,0.9650913111111111,0.54,911.68
250,225266,853,1.0,0.9649586222222222,0.54,909.74
251,226466,1200,0.0,0.9647719555555556,0.55,906.27
252,227666,1200,0.0,0.9645852888888888,0.55,906.27
